name,averageRevenue,medianRevenue,totalRevenue,publishedGames
Dionous Games,5621.75,4437,22487,4
Doky,1816.2,698,18162,10
Independent,4649.833333333333,248.5,55798,12
Antonio Renna,21532.6,6467,107663,5
MyDreamForever,11190.727272727272,1419,123098,11
Zarfhome Software,12421,4585,37263,3
Bad Kid Games,943.9090909090909,134,10383,11
VR Studio,15298.5,15298.5,30597,2
cg-imagine,5031.5,5031.5,10063,2
Pixel Lantern,11482,11482,22964,2
Game Psych LLC,7869.5,7869.5,15739,2
Reverse Impact,4876,2710,14628,3
RyseUp Studios,5020101,5020101,10040202,2
Poppy Works,42185.833333333336,28410,253115,6
VRotein,13985.75,6135,55943,4
IDEA FRUITION,7518.333333333333,134,22555,3
Kink Master Studios,1060.952473811709,55,16975.239580987345,16
ln404,5614.5,5614.5,11229,2
Ibis Games,5727.666666666667,588,17183,3
Dr. Cyril Splutterworth,1623.003296521637,580,29214.059337389463,18
Image Space Incorporated,97550,142855,292650,3
Gwyn Games,23757.4,5389,118787,5
A Little More Games,50315,50315,100630,2
Simon Says: Play!,8439.285714285714,5133,59075,7
TyGAMES,68199.875,5693,545599,8
veryOK,7536.333333333333,1695,22609,3
Sylph,15604.6,2157,78023,5
GalaxyVerse,3398,639.5,13592,4
YAW Studios,3811.5,1663.5,60984,16
Double Dice Games,41747.5,41747.5,83495,2
George Gilbert,7728.5,7728.5,15457,2
Spire Interactive,2502,2002,10008,4
sewohayami,6363,6363,12726,2
Vencious Games,15582,1959,46746,3
Nestopi Inc.,11794.5,11794.5,23589,2
Rashidi Interactive,39160,39160,78320,2
Wildlak,9448,975,28344,3
the Bratans,3309.75,3079.5,13239,4
EJRGames,2218.5714285714284,941,15530,7
Narrator,132012.6,18760,660063,5
OMNIDREAM CREATIONS,12597,7687,50388,4
Anarchy Softworks LLC,5653,514,16959,3
JoyBits Ltd.,30045.624000340227,2337,570866.8560064643,19
That Indie Studio,33317.5,33317.5,66635,2
Arcadia,58794,58794,117588,2
Flightless,8930.326505771767,4595,26790.9795173153,3
Almighty Games,17927.4,4760,89637,5
Mad Mimic,46532,12193,139596,3
Valiant Game Studio,8211,8003,24633,3
Schmidt Workshops,16132,5910.5,96792,6
Mutant Entertainment Studios,12576.833333333334,1304.5,75461,6
Amonga99,3482.714285714286,1527,24379,7
TorksGame,8678.5,8678.5,17357,2
Last Tales,5450,5450,10900,2
Chesstar studios,11450.5,11450.5,22901,2
L&L Technology,53873.5,53873.5,107747,2
Patagoniart,4750.4,2053,23752,5
ShineProject,2310.8571428571427,1648,16176,7
Agent Mega,7170,6633,28680,4
Playstige Interactive,9723.461538461539,1235,126405,13
Ellinia games,7410.5,7410.5,14821,2
Chris Antoni,1236.9166666666667,1168,14843,12
hOSHI,10152.75,977,81222,8
Console Labs S.A.,5754.2,2127,28771,5
BadLand Publishing,9738,9991,87642,9
WISECAT,44701.75,30254,178807,4
Game Cooks,13620.5,236,54482,4
Montee Games,7332.25,7807,29329,4
Zee Vital,2508.8010018714995,1644,22579.209016843495,9
VM Games,14792,97,44376,3
deadworld games,10010.833333333334,1102.5,60065,6
Grove Street Games,9329,74.5,37316,4
KaleidoGames,9887,2992,49435,5
Mikhail Nevsky,7054,7054,14108,2
DGMA,10226.666666666666,8661,30680,3
KOEX studio,2947,91,14735,5
RealityRig,4358.666666666667,2370,13076,3
Kvass Da Valenki,2568.5,2329,15411,6
lamb of game,12667.857142857143,7157,88675,7
Enoops,2977.088888888889,1842,133969,45
Best Friend Games,3807.6666666666665,4671,11423,3
Firebug Games,2189,400,10945,5
Chute Apps,13017.25,8321,52069,4
RavenFist Studios LLC,7592,7592,15184,2
Blaze Epic,2229.8571428571427,1573,31218,14
Art Games Studio S.A.,25330.666666666668,11825,379960,15
Lexip Games,6252.5,5185,25010,4
Brouillard,5632.166666666667,4341.5,33793,6
Quantized Bit,11655.4,9974,58277,5
Work Shift Play Inc.,5409.333333333333,917,16228,3
exosyphen studios,20344.666666666668,4130,244136,12
多巴胺军火商,7168,2099,21504,3
CharacterBank inc,78984,78984,157968,2
Giant Fox Studios,3348.5,1323,13394,4
Convict Games,15597,15597,31194,2
JCP Games Studio,20559,20559,41118,2
From Nothing Game Studios,9289,9289,18578,2
indiegamesjapan,3542.1428571428573,1320,24795,7
Inlet Pipe Productions,26759.75,2568,107039,4
Look At My Game,55641.5,55641.5,111283,2
MFC STUDIO,9750,5419.5,39000,4
"Saturn VR , NipsApp Gaming Software",6464,72,19392,3
UniqueGames Publishing GmbH,8669.166666666666,3756.5,52015,6
"Warrior General Games, LLC",43749,43749,87498,2
Vladislav Castillo Gonzalez,8012.2,10524,40061,5
magicdweedoo,3600,3991,18000,5
Nonsense Machine,3000,3692,18000,6
Cyan Ventures,210104.5,210104.5,420209,2
Rapid Snail,16957,16957,33914,2
Dnovel,2743.294117647059,2641.5,93272,34
artoonu,2274.7727272727275,1567,50045,22
Red Limb Studio,34926.6,3975,174633,5
Loolust,3056.423076923077,2393,79467,26
CINEMAX GAMES,41681,34244,333448,8
DuCats Games Studio,19237,9375,76948,4
Light Road Games,23005.5,23005.5,46011,2
Zertuk,5118,5118,10236,2
KISS ltd,38586.7037037037,3975,1041841,27
Dreamlight Games Studios SL,29421,4317,88263,3
Visual Light,9219.5,6058.5,36878,4
Monavista pub,3709,3989,25963,7
Corn Pop Games,8941.857142857143,8398,62593,7
SZH,13869.333333333334,1991.5,83216,6
Diax Arts,10372.333333333334,3990,31117,3
Crankage Games,7393.6,3957,36968,5
Oslo Albet,27866.5,27866.5,55733,2
pheenix93,3703.3333333333335,3957,11110,3
Iron Galaxy Studios,243961.33333333334,83667,731884,3
Grim's Studio,5787,5897,17361,3
Eclipse Games,23128.8,4638,115644,5
Divide The Plunder,10936,10936,21872,2
oyajinojiike,4104.25,4557.5,16417,4
VICTORIA Games,3936.8,3943,19684,5
Kotovodk Studio,2124.3958333333335,1623.5,101971,48
CITY CONNECTION,13863.586206896553,10639,402044,29
nobodyshot,7682.237923714095,7682.237923714095,15364.47584742819,2
Black Country Games,3391.5,4144,13566,4
Randumb Studios,16789.962962962964,6958,453329,27
Digital Fusion Inc.,9961.285714285714,3928,69729,7
ebi-hime,12576.054054054053,4583,465314,37
"Atom Switch, Inc.",11696,11696,23392,2
Experimental Gamer Studios,18615,18615,37230,2
Touch Times Studio,72892,72892,72892,1
Dangerous Derk Interactive,20463,3558,81852,4
SKYZ Studio,72275,72275,72275,1
EIRTeam,73418,73418,73418,1
Bitmap Bureau,73024,73024,73024,1
Space Samurai Studio,51772.333333333336,45898,155317,3
YETU GAME,54694.666666666664,66164,164084,3
Aatlantis Code,24290.666666666668,0,72872,3
Funcraft Games,18705.8,2723,93529,5
Salmi Games,38511,38046,154044,4
Killer Bee Software,72838,72838,72838,1
Liu Lidan,36101.2,40299,180506,5
Awestruck Games,36319.5,36319.5,72639,2
Yousoi,72639,72639,72639,1
Toy Temp,72587,72587,72587,1
302 GAMES INC,36734,36734,73468,2
polynation games ltd,72571,72571,72571,1
Plasterbrain,72935,72935,72935,1
Pixel Wizards,72562,72562,72562,1
Huy Phan,32056.666666666668,16213,96170,3
Wish Fang,72303,72303,72303,1
Kenny Sun,21240.4,11953,106202,5
Sakari Games,22179.75,19539.5,88719,4
Clam Dog Games,72214,72214,72214,1
Echodog Games,34788,34788,69576,2
Naga Entertainment,33972,33972,33972,1
iDs Games,72127,72127,72127,1
NSFW18 Games,20041.594922951263,16323,260540.73399836643,13
Demon Girl,72024,72024,72024,1
Alliance,65571.25,79310,262285,4
Blake Garner,38377,38377,76754,2
Overflow,72298.6,71970,361493,5
Denside Studios,71967,71967,71967,1
Macrojoy,79466,79466,79466,1
Draknek & Friends,169007.5,65074.5,1014045,6
WAX Publishing,72647,72647,72647,1
Svantech Studios,35934,35934,71868,2
GoldenGod Games,12906.583333333334,2607.5,154879,12
Double Stallion,53969,53969,107938,2
坤舆科技,96359,96359,192718,2
Miniclip.com,71813,71813,71813,1
Massive Galaxy Studios,71484,71802,214452,3
Tianmu Games,71030,71030,71030,1
Rockbee,71759,71759,71759,1
Benjamin Soulé,23894.5,11919,95578,4
Polished Games,246083.5,246083.5,492167,2
Chainsawesome Games,38011.75,37009.5,152047,4
Casual Labs,71491,71491,71491,1
e-Jade,72092,72092,72092,1
Immanitas Entertainment GmbH,36666.333333333336,37062,109999,3
Animation Arts,34283.5,34283.5,68567,2
Zeno Rogue,41826.5,41826.5,83653,2
Octo Games,45141.12195121951,33046,1850786,41
TwinDrills,71483,71483,71483,1
CrazyPrince,54054.666666666664,71476,162164,3
Archiact,75039,75039,150078,2
MedievalNexus,71258,71258,71258,1
Mature Games,44162.63636363636,33317,485789,11
Xform,48138.5,48138.5,96277,2
TGC,71550,71550,71550,1
Daily Magic Productions,36560.5,36560.5,73121,2
Sean Tann,71154,71154,71154,1
Initiative Media,71146,71146,71146,1
"T-Time Technology CO., LTD.",36375,14155,472875,13
GameDev.ist,283207.5,283207.5,566415,2
Charlie Oscar,71189,71189,71189,1
mebius.,30070.714285714286,28701,210495,7
Steamberry Studio,59910.5,59910.5,119821,2
Rekim,71252,71252,71252,1
Robert Weaver,71035,71035,71035,1
RPN Indie Developer,70931,70931,70931,1
RetroStyle Games,75012,75012,75012,1
GameLiberty,71005,71005,71005,1
InterAction studios,85612.21151402037,71093,428061.0575701018,5
Utopia Game,70906,70906,70906,1
Day Day Up！,34902.333333333336,33624,104707,3
Grounding Inc.,60632.5,60632.5,121265,2
GeoCuck Group,70827,70827,70827,1
ARVORE Immersive Experiences,62780.5,46232,251122,4
MythicOwl,21310.4,13166,106552,5
Wave Light Games Inc.,27299.6,20894,136498,5
Hammer Glass Studio Inc.,36713,36713,73426,2
"LiTMUS Co., Ltd.",70381,70381,70381,1
Kinmoku,49379.5,49379.5,98759,2
Wrestling Gamers United,70396,70396,70396,1
3rd Eye Studios,45312.5,45312.5,90625,2
"LegionVR, LLC",70368,70368,70368,1
Fun Train,86468,70368,259404,3
Trickster Arts,29729.8548073057,16217,89189.5644219171,3
3dm_live_wallpapers,16523,2384.5,99138,6
Wolverine Studios,18747.375,12006,599916,32
Robot Assembly,77074,77074,77074,1
Jonathan Wood,70258,70258,70258,1
SPARSE//GameDev,35682,35682,71364,2
MorfeoDev,49810,54423,149430,3
Oversteer Studios,69931,69931,69931,1
RMAsia,7206.437741897092,2221,281051.07193398656,39
Light of Creators,27707.47619047619,4935,581857,21
Maker製造機,36477,36477,72954,2
Sonderland,50413.75,40037,201655,4
"AREA 34, Inc.",70332,70332,70332,1
SilverForge,70149,70149,70149,1
DIVR Labs,35026.5,35026.5,70053,2
Eagre Games,69996,69996,69996,1
Hangover Cat Purrroduction,28781.625,8029.5,230253,8
HEXADRIVE Inc.,34993,34993,69986,2
PD Design Studio,36738.5,36738.5,73477,2
Z-Challenger,70450,70450,70450,1
En Masse Entertainment,69877,69877,69877,1
Astrolabe Games,71296.84615384616,60907,926859,13
Bad Bunny Games,69816,69816,69816,1
HeartCoreDev,154748.66666666666,70166,464246,3
Galaxy Pest Control,69730,69730,69730,1
DangerousBob Studio LLC,26915.833333333332,13458,161495,6
ALLAF GAMES,35536.666666666664,37124,106610,3
Digital Continue,25813,7852,77439,3
OppaiMan 2D,42460.333333333336,30004,127381,3
Nidal Nijm Games,69599,69599,69599,1
Guanpeng Chen,69480,69480,69480,1
Mandragora,44903.666666666664,55799,134711,3
Crimsonite Games,32409.75,30056,129639,4
Dmitry Zheltobriukhov,34867.5,34867.5,69735,2
Walk Thru Walls Studios,69386,69386,69386,1
Great Gretuski Studios,66621,66621,66621,1
Three Fields Entertainment,109957.33333333333,120490,329872,3
devotid Media,46652,46652,93304,2
PONY,46364.5,46364.5,92729,2
AFOG,274204.6666666667,330040,822614,3
RetroEpic Software,35449,35449,70898,2
Frogstorm,64722,64722,64722,1
Polyák Kristóf,69631,69631,69631,1
"Hamumu Games, Inc.",19760.5,4702,79042,4
Unseen Interactive,24296,2365,72888,3
Wunarg,69039,69039,69039,1
Moon Studio,71687,71687,71687,1
Basilisk Games,40845.666666666664,53643,122537,3
Darius Bode,146289.66666666666,69078,438869,3
Spellbind Studios,68806,68806,68806,1
neko.works,35847.666666666664,31551,107543,3
Live Wire,58575.5,58575.5,117151,2
Pirates Of The Digital Sea,42602.25,37877.5,852045,20
Guangzhou yimi information technology company,68770,68770,68770,1
LW Games,68744,68744,68744,1
bmrec,69158,69158,69158,1
Ithiro Sumi,34448.5,34448.5,68897,2
Ambiera,52823,57453,264115,5
Anarkis Gaming,62515.5,62515.5,125031,2
Axyos Games,35468.1,16561,354681,10
Wide Right Interactive,53344,55312,160032,3
MadAboutGamesStudios,40120.71428571428,22042,280845,7
TopHouse Publishing,398317.75,384856,1593271,4
Yazar Media Group LLC,68450,68450,68450,1
Flannel Bear Games,68587,68587,68587,1
Paper Dog,68298,68298,68298,1
KAMITSUBAKI STUDIO,24196,17658,72588,3
Studio Lalala,54930,54930,54930,1
Thousand Games,44568.5,44568.5,89137,2
Team OFK,68336,68336,68336,1
SECRET CHARACTER,68159,68159,68159,1
Flyhigh Works,42983.15789473684,11720.5,1633360,38
Romantic Room,45715.15789473684,42957,868588,19
Furry Tails,26266.2,18457,262662,10
"Truant Pixel, LLC",39670.75,41250,158683,4
四块二茶会,68157,68157,68157,1
Lunheim Studios,34004.5,34004.5,68009,2
Somnium Games d.o.o.,68083,68083,68083,1
Sinner's Lotion,68137,68137,68137,1
Third Spirit Games,67534,67534,67534,1
Red Art Games,39040.5,39040.5,78081,2
netmin games,37492.666666666664,31327.5,224956,6
aliasBLACK,103651,103651,103651,1
Squeaky Wheel,103651,103651,103651,1
Silver Moon Internet,47575.5,47575.5,95151,2
银月网络,67841,67841,67841,1
S&COR Games,67549,67549,67549,1
Mastertronic,65062.166666666664,39755.5,390373,6
Doragon Entertainment,53477,53477,106954,2
Wang Wenxi,67741,67741,67741,1
GuraShop,19963.75,6078.5,79855,4
Glass Knuckle Games,24200.25,12179.5,96801,4
Flight School Studio,55248.5,53057,220994,4
Last Dimension,90561.5,90561.5,181123,2
BLESTWORKS,67737,67737,67737,1
NUU,67383,67383,67383,1
Helmet Fox,67574,67574,67574,1
The Boar Studio,67518,67518,67518,1
"WhiteMoon Dreams, Inc.",67515,67515,67515,1
Tenth Art Studio,68232,68232,68232,1
BanzaiProject,45769.380952380954,40401,961157,21
Chris McFarland,90134,90134,180268,2
Rebuff Reality,67720,67720,67720,1
Yuliy Oneshko,67680,67680,67680,1
S-Grade,67680,67680,67680,1
Stonepunk Studios,77650.5,77650.5,155301,2
Elden Pixels,102030.33333333333,145914,306091,3
Lucid Dreams Studio,148979,148979,148979,1
G-DEVS.com,60962.1875,0,975395,16
KSYM,146558,146558,146558,1
灰烬天国,68526,54093.5,274104,4
Yak & Co,318924,318924,637848,2
Karnage Gaming,146374,146374,146374,1
Illusion Ranger,147379,147379,147379,1
Best Place Apps,3098.3,1723,30983,10
Way Down Deep,22468.14285714286,10520,157277,7
Blowfish Studios,26613.05,13940,532261,20
AgeOfGames,1400.75,999,11206,8
AnelaGamesStudio,6316.6,1826,63166,10
Ivanovich Games,36788.083333333336,14422.5,441457,12
Male Doll,2769,1765,47073,17
Polygon Art Publishing,5410,1835,37870,7
Angela He,28728.333333333332,1108,86185,3
SlimeSmile,17194.6,5488,85973,5
Indie Game Group,3981,1106,11943,3
Virtual Arts Studio,4546.75,898.5,18187,4
Man-Eater Games,3571.25,1297,14285,4
R_Games,13329.75,11152,53319,4
Josyan,3435.25,2424,13741,4
Springloaded,3351.75,2085.5,13407,4
Pixel Puzzles,13409.777101058626,1253,241375.98781905527,18
SHEN JIAWEI,5168.333333333333,3085,31010,6
Effimera Studio,12796.5,12796.5,25593,2
LOVE SYNERGY,5400.333333333333,4532,16201,3
Lemonhaze Studio,5242.5,5242.5,10485,2
Playables,43916.75,15041.5,175667,4
First Games Interactive,4364.7,4502,43647,10
Absolutist Ltd.,11881.616673077417,6105.857517242086,130697.78340385159,11
SpaceMyFriend,8760.333333333334,1090,26281,3
Snowrunner Games,34110.5,34110.5,68221,2
SUCCESS Corp.,12158.777777777777,10648,109429,9
Sigyaad Team,12031.033879473322,5218.5,192496.54207157315,16
Fractal Projects,24850.14285714286,1087,173951,7
Forestlight Games,11080.25,2368,44321,4
RLTY CHK,4182.666666666667,1086,12548,3
Oki Game Lab,6357,6357,12714,2
CDP,5681.666666666667,4944,17045,3
Wired Dreams Studio,7162.4,3205,35812,5
Raynmakyr,6909,6909,13818,2
4Bit Games,26161,3915,78483,3
Dr. Kucho! Games,11678.333333333334,3914,35035,3
Open Lab Games,11545.5,11545.5,23091,2
Christopher Yabsley,11314.5,11314.5,22629,2
BindleBot,34099,34099,68198,2
Tails Games,7022,7919,21066,3
Overlord Empire LLC,2084.4285714285716,1659,14591,7
LUK KUS SOFT,16076.5,4093.5,96459,6
Spell Helix,19675,19675,39350,2
CelLab,5658.4,3899,28292,5
Akim Games,7385.5,7385.5,14771,2
ELECTROSTALIN ENTERTAINMENT,12549.25,13278,50197,4
Charlie Brej,18462,10699,55386,3
Casual Brothers,8217,10296,24651,3
Outsider Games,14050,14050,28100,2
株式会社3goo,16151.5,16151.5,32303,2
Totally Normal Creature,6792.5,6792.5,13585,2
We Dig Games,32614.547299508944,16705.594599017888,130458.18919803578,4
Umigame Studios,2176.6,2114,10883,5
Sørb,19845.5,19845.5,39691,2
Wolfs Moon Studios,5496.583333333333,3087.5,65959,12
WASABI entertainment,24041.568965517243,6564,1394411,58
Ktulhu Solutions,68274.6,84653,341373,5
Anarchy Enterprises,12908.363636363636,4667,141992,11
tjern,3755,3862,18775,5
CCMC Corp.,67482,67482,67482,1
CatBellUnion,42489.666666666664,45045,127469,3
Good Catch Games,67798,67798,67798,1
Woop Media,51805.5,51805.5,103611,2
GUT.GAMES,67311,67311,67311,1
LongWu,67290,67290,67290,1
Dead Mage,67273,67273,67273,1
Big Blue Bubble,1522366.4010411743,166899,7611832.005205872,5
Parallel Circles,67252,67252,67252,1
South East Games,4219237,4219237,8438474,2
Dead Drop Studios LLC,16757.2,7068.5,167572,10
Retronator,67853,67853,67853,1
Shawn McGrath,67120,67120,67120,1
F2House,33544,33544,67088,2
Refinery Games,67112,67112,67112,1
Straight Back Games,5227130.666666667,67350,15681392,3
Towndarktales,21988,15199,219880,10
Kumobius,67776,67776,67776,1
Panic Ensues Software,24172.333333333332,29869,72517,3
XP,39633,39633,39633,1
Crawly Games,39714,39714,39714,1
Jan Jileček,72389,72389,144778,2
Eko Software,14409,2732,43227,3
MojoTouch,33922.833333333336,13306.5,203537,6
snappixgames,39712,39712,39712,1
App Business Ventures LLC,17643.919135846274,14220.838271692546,70575.6765433851,4
AdroVGames,63829.5,64185,255318,4
HFTGames,56220.53846153846,40519,730867,13
SaraJS,39502,39502,39502,1
ATOMIC BREATH,15184.333333333334,5067,45553,3
FraZack,15184.333333333334,5067,45553,3
Puntigames,24449,24449,48898,2
Dali Games,39453,39453,39453,1
Very Very LITTLE Studio,19317.428571428572,18323,135222,7
Farbs,39250,39250,39250,1
Cherry Kiss Games,21663.58108108108,13179,1603105,74
明枭网络,20122.4,2356,100612,5
BRANE,19884.5,19884.5,39769,2
Storybird Studio,39597,39597,39597,1
PixelHeart,15244.111111111111,16334,137197,9
"SEEDGAMES Co., Ltd.",26391.5,26391.5,52783,2
Isotope 244 LLC,39337,39337,39337,1
Giant Scam Industries,22655.666666666668,26222,67967,3
Bloodwolf Studio,39301,39301,39301,1
Fridge,43858,43858,43858,1
Confirmed Games,39279,39279,39279,1
Rainy Night Creations,10356.75,1078,41427,4
Barkers Crest Studio LLC,39254,39254,39254,1
Entropy Digital Entertainment,43364.92307692308,33845,563744,13
Edigger,54945.75,29466.5,219783,4
AAAGAMES,14151.666666666666,3267,42455,3
Think Tank Decoy Software LLC,39198,39198,39198,1
Meta Sauce,39209,39209,39209,1
Snow Cannon Games,56242.333333333336,52889,168727,3
Colorgrave,34180.333333333336,38179,102541,3
Gamifier,39140,39140,39140,1
狼皮羊工作室,39141,39141,39141,1
Zodiac Interactive,25527.75,26822,102111,4
Gen90Software,39125,39125,39125,1
Play & Cum 💦,30598.6,25169,152993,5
batcholi,39096,39096,39096,1
FloDKSM,39096,39096,39096,1
